"","id","wls_cw_sysid","cw_code","cw_name","cw_source_name","cw_source_type","pod_number","cw_legislation","cw_date_created","cw_status","organization","organization_count","organization_type","water_system_name","cw_use","source_category","source_comments","water_treatment_type","water_treatment_location","connections_count","connected_cw_name","connected_cw_pod_number","natural_resource_district","health_authority","cw_assessment_ind","cw_assessment_url","water_qlty_obj_status","water_qlty_obj_overvw_rpt_url","water_qlty_obj_tech_rpt_url","water_qlty_obj_rpt_year","water_qlty_obj_type","organization_concerns","waterworks_damage","general_comments","feature_area_sqm","feature_length_m","objectid","se_anno_cad_data","watershed_area","og_watershed_area","prot_og_watershed_area","og_percentage","prot_percentage","at_risk_area","perc_at_risk"
"381","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e41",367,"430.001","Deep Community Watershed","Deep Creek","CR","PD34614","Forest Practices Code",1995-06-15,"DESIGNATED","City of Terrace",1,"Waterworks",NA,"SECONDARY","GW & SW","primary - GW, secondary - SW (deep creek)","Disinfection","TREATMENT FACILITY",7337,NA,NA,"Coast Mountains Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,"Water quantity, turbidity","No",NA,13821155.0918,19225.375,76095,NA,1382.11550918129,668.481034798227,321.996811939716,48.37,23.3,346.484222858511,25.07
"382","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e40",398,"340.129","South Blunt Community Watershed","South Blunt Creek","CR","PD27620","Forest Practices Code",1995-06-15,"DESIGNATED","Ridgewood Improvement District",1,"Waterworks","Ridgewood Improvement District Water System","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",47,"Blunt Creek, South Blunt Creek ","PD27620, PD27616","Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry, water quantity, turbidity, mining","Unknown","Surface water from an artesian spring",707031.273,5231.3559,76126,NA,70.703127299992,0,0,0,0,0,0
"383","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e3f",399,"100.124","Schkam Lake Community Watershed","Schkam Lake","LK","PD43124","Forest Practices Code",2004-05-14,"DESIGNATED","District of Hope",1,"Waterworks",NA,"PRIMARY","SW","SW - lake",NA,"NOT SPECIFIED",2388,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,2602132.0001,7569.071,76127,NA,260.21320001255,5.58751677245796,0,2.15,0,5.58751677245796,2.15
"384","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e3e",400,"300.049","Sophy Community Watershed","Sophy Creek","GUI","PD24770","Forest Practices Code",1995-06-15,"DESIGNATED","Akisqnuk First Nation",0,"Waterworks",NA,"PRIMARY - GUDI in CW","GW (GUDI)","GW (GUDI)","NONE","NO TREATMENT",120,"Madias, Sophy, Tatley","PD24770, PD24824, PD24811","Rocky Mountain Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"About 20 years ago when highway was built, there was a big decline in the amount of water that came through the creeks in the area, so the First Nations were forced to change over to groundwater (as there was not enough flow in the river). The Akisqnuk First Nation uses wells that may be GUDI wells and is considering bringing the Sophy/Tatley/Madias sources back online.",8902331.1094,13340.4862,76128,NA,890.233110944403,32.5946857388534,23,3.66,2.58,9.59468573885336,1.08
"385","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e3d",401,"400.008","Sikedakh Community Watershed","Sikedakh Creek","CR","PD35687","Forest Practices Code",1995-06-15,"DESIGNATED","Sik-e-Dakh community",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",168,NA,NA,"Skeena Stikine Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,11111026.203,16328.3554,76129,NA,1111.10262030041,148.213850953261,70.9968057817102,13.34,6.39,77.2170451715504,6.95
"386","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e3c",402,"340.059","Glencairn Community Watershed","Glencairn Creek","GW","PD23246","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Regional District of the East Kootenay",0,"None","Moyie Community Water System","OTHER SOURCE","GW","GW","NONE","NO TREATMENT",70,NA,NA,"Rocky Mountain Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"The water purveyor no longer uses surface water and now exclusively uses groundwater.",5762275.928,11294.8037,76130,NA,576.227592800036,3,3,0.52,0.52,0,0
"387","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e3b",382,"119.007","Twentyone Mile Community Watershed","Twentyone Mile Creek","CR","PD43526","Forest Practices Code",1995-06-15,"DESIGNATED","Regional Municipality of Whistler",1,"Waterworks","Emerald Water System, Whistler Community System","PRIMARY","SW","SW","Disinfection x2","INTAKE",54000,NA,NA,"Sea to Sky Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry, water quantity, recreation (camping)",NA,"Water system is composed of three combined systems: Emerald Water System, and two systems that make up the Whistler Community System. The system relies on 50% surface water from Twentyone Mile Creek, and 50% groundwater that is sourced from Nineteen Mile Creek. The entire system (groundwater an surface water) supplies 54,000 bed units for whole system. They do not count connections because most of the connections are very large resort and condiminium connections supplying hundreds of people",26969816.3571,22683.0961,76110,NA,2696.98163570668,375.78909419775,375.78909419775,13.93,13.93,0,0
"388","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e3a",383,"900.062","Stawamus Community Watershed",NA,"R","PD44526","Forest Practices Code",1995-06-15,"DESIGNATED","District of Squamish",1,"Waterworks",NA,"SECONDARY","GW & SW","GW - primary, SW - secondary","Disinfection","INTAKE",8000,"Mashiter Creek, Stawamus River","PD44544, PD44526","Chilliwack Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8611","Not completed by 2019",NA,NA,0,NA,"Recreation, industry, wildlife",NA,"Water source is primarily groundwater for the last 4 years. The community maintains intakes on the two CW surface sources for emergency purposes but try not to use them due to quality/quantity issues. The well is not GUDI. The number of connections is for total Squamish system (Mashiter and Stawamus). There is no treatment facility - just liquid chlorine injections at three well sources. Amount diverted refers to the amount of water diverted from surface water (so none).",40148245.7328,38645.0268,76111,NA,4014.82457328077,982.444615115896,371.814269329375,24.47,9.26,610.630345786521,15.21
"389","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e39",384,"128.043","Kendry Community Watershed","Kendry Creek","CR","PD60249","Forest Practices Code",1995-06-15,"DESIGNATED","Mountain View Waterworks District",1,"Waterworks","Mountain View Water District","SECONDARY","GW & SW","GW and SW","NONE","NO TREATMENT",16,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,"No",NA,4295158.8111,11069.7266,76112,NA,429.515881106149,15,0,3.49,0,15,3.49
"390","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e38",385,"900.060","Sliammon Lake Community Watershed","Sliammon Lake","LK","PD44952","Forest Practices Code",1999-10-22,"DESIGNATED","Sliammon First Nation",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",435,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8615","Not completed by 2019",NA,NA,0,NA,NA,NA,"CW is used as a drinking water supply source.",44312735.1636,40553.1363,76113,NA,4431.27351635669,307.656125337525,216.589337588112,6.94,4.89,91.0667877494128,2.06
"391","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e37",386,"128.039","Brash Community Watershed","Brash Creek","OTH","PD60034","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","City of Enderby",0,"None",NA,"OTHER SOURCE","SW (other) & GW","SW  - primary, GW - seconday","NA","NA",0,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8551","Complete",NA,"https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/wqgs-wqos/thomp-ok-wqos/brash-creek-wq.pdf",2013,"MOE Report","Debris/slides",NA,"The City maintains a water license on Brash Creek, but the intake is not in operation at this time.  Since a washout in 1998, after which it was reconstructed, it no longer receives sufficient flow outside of the freshet to justify its operation",30929671.5119,29095.511,76114,NA,3092.9671511867,225.092556882784,55,7.28,1.78,170.092556882784,5.5
"392","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e36",387,"310.065","Trepanier Community Watershed","Trepanier Creek","CR","PD58708","Forest Practices Code",1995-06-15,"DESIGNATED","Trepanier Ditch Water Users Community, District of Peachland, Regional District of Central Okanagan",3,"Multiple User Groups","Trepanier Ditch Water Users Community, District of Peachland","PRIMARY","SW","SW","Disinfection & basic filtration","INTAKE",1500,"Peachland Creek, Trepanier Creek","PD58708, PD58648","Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8476","Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/tributaries_to_okanagan_lake_near_westbank.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_peachland_tributaries.pdf",1990,"MOE Report","ATV Use, forestry, turbidity, highway, urban and rural development, mining","Unknown","NOTE: There are three major water user groups on this creek: The District of Peachland (on PD58726), the Regional District of Central Okanagan, and the Trepanier Ditch WUC. The District of Peachland has a waterworks license on this creek and should be associated with the CW. The Trepanier Ditch Water Users Community was also surveyed and their information is also available. The RDCO has a water system called the ""Dietrich/Star Place/Trepanier"" water system as well. There are also many domestic users on this creek",234367483.1983,89918.4451,76115,NA,23436.7483198244,2440.90086034109,1038.41214139827,10.41,4.43,1402.48871894282,5.98
"393","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e35",388,"920.061","Shawnigan Community Watershed","Shawnigan Creek","CR","PD33069","Forest Practices Code",1995-06-15,"DESIGNATED","Cowichan Valley Regional District, Mill Bay Waterworks ",2,"Multiple User Groups","Shawnigan Lake North Water System, Mill Bay Water System","EMERGENCY BACKUP/IRRIGATION/FUTURE USE","GW & SW","GW - primary, SW - emergency/backup/irrigation","Disinfection & Iron/Manganese","NA",0,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_report_shawnigan.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_shawnigan.pdf",2007,"MOE Report","Farms, urban and rural development",NA,"The Shawnigan Community Watershed is used by the Mill Bay Waterworks and the Cowichan Valley Regional District to supply the Shawnigan Lake community. Shawnigan Creek is currently used for irrigation water only, however the District does anticipate possible future use for potable water/ back up supply.  This creek was once the main source of water for the Mill Bay residents, however due to contamination the District moved away from using this source as a potable option for now.  ",110891353.5719,63347.2435,76116,NA,11089.1353571953,1.10000553064309,0,0.01,0,1.10000553064309,0.01
"394","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e34",389,"340.058","Glade Community Watershed","Glade Creek","CR","PD25140","Forest Practices Code",1995-06-15,"DESIGNATED","Glade Irrigation District",1,"Waterworks","Glade Irrigation District Water System","PRIMARY","SW","SW","Disinfection","INTAKE",109,NA,NA,"Selkirk Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8767","Not completed by 2019",NA,NA,0,NA,"Turbidity","Unknown",NA,29793601.2884,23310.84,76117,NA,2979.360128838,124,55,4.16,1.85,69,2.32
"395","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e33",390,"310.029","Keremeos Community Watershed","Keremeos Creek","CR","PD56395","Forest Practices Code",1995-06-15,"DESIGNATED","Apex Mountain Resort",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",0,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","No",NA,"Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/keremeos_creek_watershed.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_keremeos.pdf",2000,"MOE Report + 'Established under Code'",NA,NA,"Surface water used for drinking water.",1211245.7574,4189.6478,76118,NA,121.124575737506,20.1329385409236,0,16.62,0,20.1329385409236,16.62
"396","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e32",391,"900.026","Mcneill Lake Community Watershed","Haslam Creek","CR","PD44500","Forest Practices Code",1995-06-15,"DESIGNATED","Sunshine Coast Regional District",1,"Waterworks","Madeira Park","PRIMARY","SW","SW - 2 intakes - SW (Mc Neill lake) - primary, SW (CW stream - Haslam Creek) - secondary","Disinfection","TREATMENT FACILITY",1818,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8254","Not completed by 2019",NA,NA,0,NA,"Not specified",NA,NA,15287963.8303,20209.7291,76119,NA,1528.79638302507,76.485097037673,40.9100108446766,5,2.68,35.5750861929964,2.33
"397","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e31",392,"900.027","Helena Community Watershed","Helena Creek","CR","PD45316","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Young Life Malibu Club",0,"None","Malibu Club","EMERGENCY BACKUP/IRRIGATION/FIREFIGHTING","GW & SW","GW and SW","NONE","NO TREATMENT",1,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,"No","Water used by camp. Potable water from wells, non-potable water for irrigation, fire suppression, etc. from surface water.",5787986.43,11637.8509,76120,NA,578.798643000038,4,0,0.69,0,4,0.69
"398","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e30",393,"460.004","Corya Community Watershed","Corya Creek","CR","PD35672","Forest Practices Code",1995-06-15,"DESIGNATED","Moricetown Band",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",816,NA,NA,"Skeena Stikine Natural Resource District","Northern","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Band obtains their drinking water from an intake on this creek.",61841134.9586,37191.5953,76121,NA,6184.11349586281,518.277180274066,412,8.38,6.66,106.277180274066,1.72
"399","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e2f",394,"970.001","Doyle Community Watershed","Doyle Brook","BR","PD42876","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Tsawwassen Waterworks District",0,"None","Tsawwassen Waterworks District","IRRIGATION","SW","SW","NONE","NO TREATMENT",11,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry roads","Yes","In 1947 the water supplier became an official water district (Tswassen Waterworks District).  They stopped using the CW for drinking water in the 1970's.  Now they only use the Community Watershed source for irrigation, but not for drinking water.  They are attached to the municipality of Delta for drinking water.  The CW source that they use for irrigation is spring water. The water that comes from the springs seeps out of a hillside. If it is not contained and controlled, it will turn the lower areas very soggy and swampy, so the Waterworks District uses the reservoir to contain the water.",35495.7116,1196.0421,76122,NA,3.54957116250433,0,0,0,0,0,0
"400","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e2e",395,"310.062","Swayne Community Watershed","Swayne Brook","BR","PD57931","Forest Practices Code",1995-06-15,"DESIGNATED","Regional District of North Okanagan",1,"Waterworks","Greater Vernon Water System","PRIMARY","SW","SW","Disinfection x2","TREATMENT FACILITY",38563,"Coldstream Creek, Swayne Brook, Deer Creek","PD57919, PD57931, PD58019","Okanagan Shuswap Natural Resource District","Interior","No",NA,"Complete",NA,"https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/thomp-ok-wqos/technical_coldstream_wqo_jan_2016.pdf",2015,"MOE Report","Forestry, range use, recreation, urban and rural development, highway","Indirectly - due to access on logging roads"," Greater Vernon Water (GVW), a service of the Regional District of North Okanagan,  is a regional water system that provides water to the City of Vernon, District of Coldstream, Electoral areas B and C and a small area of Spallumcheen and Electoral Area D.  Coldstream Creek flows into the North end of Kalamalka Lake which is Greater Vernon's major water source.    This water supplier noted that community Watersheds that were designated under the Forest Practices Code should be maintained under the Forest and Range Protection Act even if the future usage is non-potable (irrigation) but when there is a linkage to the community potable water sources ie. Coldstream Crk, Swayne Brook, and Deer Crk are tributaries to Kalamalka Lake.",122725.8173,2714.3334,76123,NA,12.2725817312434,0,0,0,0,0,0
"401","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e2d",396,"300.022","Fruitvale Community Watershed","Fruitvale Creek","OTH","PD34971","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Regional District of Kootenay Boundary",0,"None",NA,"OTHER SOURCE","Unknown","Unknown",NA,"NOT SPECIFIED",0,NA,NA,"Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"This water supplier does not want to be contacted again. It appears that this community watershed source is not in use. The Village of Fruitvale receives water from another source (Kelly Creek) and from the Beaver Falls Waterworks District's water system as described in the following link:  http://beaverfallswaterworksdistrict.myruralwater.com/documents/497/water_quality_report_2014.pdf). 
The Beaver Valley Water System provides water treatment, supply, distribution and fire protection to the Village of Fruitvale and a portion of Electoral Area ‘A’ (Rural Fruitvale). The system receives direct water supply from Kelly Creek and when required, two back-up chlorinated wells.  ",5064976.6616,10256.0345,76124,NA,506.497666162792,0,0,0,0,0,0
"402","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e2c",397,"320.015","Overton Community Watershed","Overton Creek","CR","PD55662","Forest Practices Code",1995-06-15,"DESIGNATED","City of Grand Forks",1,"Waterworks",NA,"EMERGENCY BACKUP","Unknown","Unknown - maintains CW intake as backup suppy","NA","NO TREATMENT",0,NA,NA,"Selkirk Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"User maintains intake as a backup supply. ",3718626.5993,7876.3036,76125,NA,371.86265993128,0,0,0,0,0,0
"403","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e2b",419,"349.008","Gold Community Watershed","Gold Creek","CR","PD23436","Forest Practices Code",1995-06-15,"DESIGNATED","City of Cranbrook",1,"Waterworks","City of Cranbrook (No. 0004)","PRIMARY","SW","SW","Disinfection","INTAKE",20000,"Gold Creek, Joseph Creek ","PD29619, PD23436","Rocky Mountain Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Range use, water quantity",NA,"At PD23437 there is a waterworks licenses with approximately 10,000 connections for the City of Cranbrook.The City of Cranbrook still uses this source (they also have wells, but do not currently use the wells). The Phillips Reservoir is the impoundment structure that supplies the City of Cranbrook water distribution system. Provincial grazing leases within each of the Gold Creek and Joseph Creek watersheds conflict with water utility efforts to maintain watershed source water quality.    ",93261540.3984,49501.6708,76147,NA,9326.15403983663,1704.75935657256,410.963948620789,18.28,4.41,1293.79540795177,13.87
"404","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e2a",420,"349.006","Fairy Community Watershed","Fairy Creek","GUI","PD56156","Forest Practices Code",1995-06-15,"DESIGNATED","City of Fernie",1,"Waterworks",NA,"PRIMARY - GUDI in CW","GW (GUDI)","GW (GUDI)","Disinfection","TREATMENT FACILITY",2500,NA,NA,"Rocky Mountain Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,"Turbidity",NA,NA,23695327.4742,20379.5862,76148,NA,2369.53274742502,0,0,0,0,0,0
"405","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e29",421,"900.013","Dakota Community Watershed","Dakota Creek","CR","PD46258","Forest Practices Code",1995-06-15,"DESIGNATED","Sunshine Coast Regional District",1,"Waterworks",NA,"EMERGENCY BACKUP","Unknown","Unknown","NONE","NO TREATMENT",0,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8565","Not completed by 2019",NA,NA,0,NA,NA,NA," ",32424560.7845,27601.9289,76149,NA,3242.45607845056,438.305211235076,161.765347902068,13.52,4.99,276.539863333008,8.53
"406","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e28",422,"310.048","Penticton Community Watershed","Penticton Creek","CR","PD54716","Forest Practices Code",1995-06-15,"DESIGNATED","City of Penticton",1,"Waterworks","City of Penticton Water Utility","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",9000,NA,NA,"Okanagan Shuswap Natural Resource District","Interior","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8484","Not completed by 2019",NA,NA,0,NA,"Range use, access roads",NA,NA,173914804.4202,68550.23,76150,NA,17391.4804420238,1674.7395575692,461.129022513786,9.63,2.65,1213.61053505542,6.98
"407","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e27",423,"900.034","Haslam/Lang Community Watershed","Lang Creek","CR","PD44642","Forest Practices Code",1996-05-15,"DESIGNATED","Brew Bay Improvement District, City of Powell River",2,"Multiple User Groups","Brew Bay Improvement District, City of Powell River","PRIMARY","SW","SW","Disinfection","TREATMENT FACILITY",29,NA,NA,"Sunshine Coast Natural Resource District","Vancouver Coastal","Yes","http://a100.gov.bc.ca/pub/acat/public/viewReport.do?reportId=8258","Not completed by 2019",NA,NA,0,NA,"Turbidity, municipal weir upstream","No","The Brew Bay ID and the City of Powell River as well as several homes obtain drinking water from this source",130743600.8912,68778.8941,76151,NA,13074.3600891182,131.940453770701,95.8114154315004,1.01,0.73,36.1290383392004,0.28
"408","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e26",424,"920.054","Puntledge Community Watershed","Puntledge River","R","PD31063","Forest Practices Code",1995-06-15,"DESIGNATED","Comox Valley Regional District",1,"Waterworks","Comox Valley Water System","PRIMARY","SW","SW","Disinfection","INTAKE",17000,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Complete","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_overview_comox_2011.pdf","https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-objectives/wqo_tech_comox_2011.pdf",2011,"MOE Report","Forestry, turbidity","Potentially",NA,585905250.7488,135333.9538,76152,NA,58590.5250748825,2240.55221996907,2231.56884256877,3.82,3.81,8.98337740030229,0.02
"409","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e25",425,"LAS.001","Hadley Community Watershed","Hadley Creek","CR","PD31446","Forest Practices Code",1995-06-15,"DESIGNATED","Pete's Lake Water Users",1,"Waterworks",NA,"PRIMARY","SW","SW",NA,"NOT SPECIFIED",75,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"Hadley Lake is also locally known as Pete's Lake.  The CW is still in use: http://www.lasqueti.ca/services/water",1161058.748,4155.3991,76153,NA,116.10587480002,0,0,0,0,0,0
"410","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e24",426,"100.085","Mcintyre Community Watershed","McIntyre Brook","BR","PD70104","Forest Practices Code",1995-06-15,"DESIGNATED","Skuppah Indian Band",1,"Waterworks","IR #2 Water Treatment","PRIMARY","SW","SW","Disinfection & filtration","TREATMENT FACILITY",117,"Inklyulnkinatko Creek, McIntyre Creek, George Creek","PD47865, PD70456, PD70104","Cascades Natural Resource District","Interior","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,"No","Surface water from Inklyulnkinatko, McIntyre, and George all are treated at the IR#2 water treatment facility.  The number of connections is shared for these three watersheds.",203956.2291,2461.7984,76154,NA,20.3956229062474,0,0,0,0,0,0
"411","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e23",427,"920.042","Meade Community Watershed","Meade Brook","NA","PD32494","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW","Sunset Improvement District, Lake Cowichan",0,"None",NA,"ABANDONED","ABANDONED","ABANDONED","NONE","NO TREATMENT",0,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,"License has been abandoned: no current users",63560.3604,1374.9394,76155,NA,6.35603604372554,0,0,0,0,0,0
"412","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e22",428,"920.059","Ram Community Watershed","Ram Brook","BR","PD32493","Forest Practices Code",1995-06-15,"DESIGNATED - REVIEW",NA,0,"None",NA,"PRIMARY","SW","SW","NONE","NO TREATMENT",1,NA,NA,"South Island Natural Resource District","Vancouver Island","No",NA,"Not completed by 2019",NA,NA,0,NA,"Forestry",NA,"Only one current domestic user. Waterworks that used to be on this POD (Sunset Improvement District) no longer uses the source and the license is abandaoned.",74594.8924,1698.0142,76156,NA,7.45948924378092,0,0,0,0,0,0
"413","WHSE_WATER_MANAGEMENT.WLS_COMMUNITY_WS_PUB_SVW.fid-22be77d5_17bea418f62_-4e21",429,"100.002","Ascaphus Community Watershed","Ascaphus Creek","CR","PD41430","Forest Practices Code",1995-06-15,"DESIGNATED","Cultus Lake Park Board",1,"Waterworks",NA,"EMERGENCY BACKUP","GW","GW, SW for emergency backup","NA","NA",1000,NA,NA,"Chilliwack Natural Resource District","Fraser","No",NA,"Not completed by 2019",NA,NA,0,NA,NA,NA,NA,1488442.0052,5075.9063,76157,NA,148.844200518764,0,0,0,0,0,0
